ticker,fecha,hora,spot,open,var,close,,,,,,,dias_vto
,,,61575.0,,0.98,,,,,,,,26
YPFDC34500,,,,,,34500,YPFDV34500,,,,,,
YPFDC37500,,,,,,37500,YPFDV37500,,,,,,
YPFDC39000,,,,,,39000,YPFDV39000,,,,,,
YPFDC40500,,,21387.38,,,40500,YPFDV40500,,,436.99,,,
YPFDC43000,,,19228.00,,,43000,YPFDV43000,,,44.00,,,
YPFDC44500,,,17112.60,,,44500,YPFDV44500,,,,,,
YPFDC46000,,,15785.31,,,46000,YPFDV46000,,,,,,
YPFDC47500,,,14200.00,,,47500,YPFDV47500,,,109.00,,,
YPFDC49000,,,13100.00,,,49000,YPFDV49000,,,130.00,,,
YPFDC52000,,,9583.04,,,52000,YPFDV52000,,,149.50,,,
YPFDC55000,,,7500.00,,,55000,YPFDV55000,,,255.10,,,
YPFDC58000,,,5000.00,,,58000,YPFDV58000,,,700.00,,,
YPFDC61000,,,3182.67,,,61000,YPFDV61000,,,1800.00,,,
YPFDC64000,,,1550.00,,,64000,YPFDV64000,,,2100.00,,,
YPFDC67000,,,800.00,,,67000,YPFDV67000,,,5700.00,,,
YPFDC70000,,,400.00,,,70000,YPFDV70000,,,,,,
YPFDC73000,,,225.00,,,73000,YPFDV73000,,,,,,
YPFDC76000,,,,,,76000,YPFDV76000,,,,,,
YPFDC79000,,,,,,79000,YPFDV79000,,,,,,
YPFDC82000,,,,,,82000,YPFDV82000,,,,,,
YPFDC85000,,,,,,85000,YPFDV85000,,,,,,
